full_date,month,year,date_id
2023-11-28,11,2023,74
2023-02-06,2,2023,75
2023-11-08,11,2023,76
2023-03-29,3,2023,77
2023-10-01,10,2023,78
2023-08-25,8,2023,79
2023-05-19,5,2023,80
2023-12-19,12,2023,81
2023-10-13,10,2023,82
2023-12-17,12,2023,83
2023-06-16,6,2023,84
2023-01-29,1,2023,85
2023-04-28,4,2023,86
2023-06-11,6,2023,87
2023-07-25,7,2023,88
2023-05-18,5,2023,89
2023-02-03,2,2023,90
2023-04-19,4,2023,91
2023-10-18,10,2023,92
2023-12-02,12,2023,93
2023-09-13,9,2023,94
2023-07-22,7,2023,95
2023-11-26,11,2023,96
2023-08-23,8,2023,97
2023-03-15,3,2023,98
2023-05-07,5,2023,99
2023-10-03,10,2023,100
2023-05-15,5,2023,101
2023-10-27,10,2023,102
2023-08-08,8,2023,103
2023-10-26,10,2023,104
2023-07-24,7,2023,105
2023-03-12,3,2023,106
2023-09-18,9,2023,107
2023-09-10,9,2023,108
2023-02-16,2,2023,109
2023-01-25,1,2023,110
2023-02-26,2,2023,111
2023-03-20,3,2023,112
2023-12-15,12,2023,113
2023-11-02,11,2023,114
2023-02-02,2,2023,115
2023-07-17,7,2023,116
2023-07-15,7,2023,117
2023-08-28,8,2023,118
2023-09-28,9,2023,119
2023-05-09,5,2023,120
2023-10-11,10,2023,121
2023-01-06,1,2023,122
2023-02-28,2,2023,123
2023-11-25,11,2023,124
2023-08-11,8,2023,125
2023-03-22,3,2023,126
2023-01-02,1,2023,127
2023-09-14,9,2023,128
2023-04-02,4,2023,129
2023-09-17,9,2023,130
2023-02-24,2,2023,131
2023-11-17,11,2023,132
2023-06-02,6,2023,133
2023-07-11,7,2023,134
2023-03-24,3,2023,135
2023-10-04,10,2023,136
2023-09-29,9,2023,137
2023-01-01,1,2023,138
2023-11-03,11,2023,139
2023-06-15,6,2023,140
2023-09-08,9,2023,141
2023-01-10,1,2023,142
2023-06-07,6,2023,143
2023-05-03,5,2023,144
2023-01-30,1,2023,145
2023-05-04,5,2023,146
2023-02-13,2,2023,147
2023-09-06,9,2023,148
2023-09-30,9,2023,149
2023-03-06,3,2023,150
2023-03-07,3,2023,151
2023-12-04,12,2023,152
2023-09-01,9,2023,153
2023-10-09,10,2023,154
2023-03-26,3,2023,155
2023-11-07,11,2023,156
2023-12-20,12,2023,157
2023-04-13,4,2023,158
2024-01-01,1,2024,159
2023-06-09,6,2023,160
2023-08-13,8,2023,161
2023-09-22,9,2023,162
2023-08-20,8,2023,163
2023-03-03,3,2023,164
2023-04-26,4,2023,165
2023-06-23,6,2023,166
2023-01-11,1,2023,167
2023-12-29,12,2023,168
2023-11-20,11,2023,169
2023-01-31,1,2023,170
2023-02-04,2,2023,171
2023-06-19,6,2023,172
2023-09-21,9,2023,173
2023-05-02,5,2023,174
2023-12-09,12,2023,175
2023-04-20,4,2023,176
2023-03-09,3,2023,177
2023-10-20,10,2023,178
2023-08-31,8,2023,179
2023-05-05,5,2023,180
2023-07-28,7,2023,181
2023-04-08,4,2023,182
2023-02-18,2,2023,183
2023-08-09,8,2023,184
2023-07-30,7,2023,185
2023-01-28,1,2023,186
2023-12-11,12,2023,187
2023-12-01,12,2023,188
2023-11-27,11,2023,189
2023-02-20,2,2023,190
2023-02-01,2,2023,191
2023-07-26,7,2023,192
2023-02-25,2,2023,193
2023-05-08,5,2023,194
2023-04-04,4,2023,195
2023-02-08,2,2023,196
2023-08-15,8,2023,197
2023-01-26,1,2023,198
2023-11-30,11,2023,199
2023-01-08,1,2023,200
2023-03-27,3,2023,201
2023-09-04,9,2023,202
2023-07-19,7,2023,203
2023-05-27,5,2023,204
2023-12-23,12,2023,205
2023-10-12,10,2023,206
2023-09-07,9,2023,207
2023-06-01,6,2023,208
2023-10-24,10,2023,209
2023-10-05,10,2023,210
2023-06-10,6,2023,211
2023-09-02,9,2023,212
2023-09-15,9,2023,213
2023-02-11,2,2023,214
2023-04-06,4,2023,215
2023-11-01,11,2023,216
2023-12-12,12,2023,217
2023-05-01,5,2023,218
2023-10-19,10,2023,219
2023-01-21,1,2023,220
2023-11-14,11,2023,221
2023-12-03,12,2023,222
2023-10-17,10,2023,223
2023-09-25,9,2023,224
2023-05-14,5,2023,225
2023-04-15,4,2023,226
2023-06-03,6,2023,227
2023-02-07,2,2023,228
2023-01-05,1,2023,229
2023-11-15,11,2023,230
2023-10-16,10,2023,231
2023-06-28,6,2023,232
2023-05-26,5,2023,233
2023-10-06,10,2023,234
2023-06-04,6,2023,235
2023-11-10,11,2023,236
2023-12-08,12,2023,237
2023-12-06,12,2023,238
2023-02-23,2,2023,239
2023-03-10,3,2023,240
2023-03-01,3,2023,241
2023-05-20,5,2023,242
2023-05-25,5,2023,243
2023-06-25,6,2023,244
2023-12-18,12,2023,245
2023-11-21,11,2023,246
2023-01-27,1,2023,247
2023-05-22,5,2023,248
2023-06-20,6,2023,249
2023-03-08,3,2023,250
2023-11-23,11,2023,251
2023-12-28,12,2023,252
2023-08-07,8,2023,253
2023-03-18,3,2023,254
2023-01-19,1,2023,255
2023-03-17,3,2023,256
2023-01-22,1,2023,257
2023-10-14,10,2023,258
2023-04-01,4,2023,259
2023-07-31,7,2023,260
2023-01-20,1,2023,261
2023-08-29,8,2023,262
2023-04-24,4,2023,263
2023-06-29,6,2023,264
2023-06-06,6,2023,265
2023-06-18,6,2023,266
2023-12-14,12,2023,267
2023-01-15,1,2023,268
2023-10-25,10,2023,269
2023-08-12,8,2023,270
2023-09-19,9,2023,271
2023-05-11,5,2023,272
2023-09-24,9,2023,273
2023-04-11,4,2023,274
2023-12-07,12,2023,275
2023-11-16,11,2023,276
2023-06-08,6,2023,277
2023-07-29,7,2023,278
2023-06-17,6,2023,279
2023-08-04,8,2023,280
2023-03-31,3,2023,281
2023-11-12,11,2023,282
2023-07-27,7,2023,283
2023-10-08,10,2023,284
2023-06-05,6,2023,285
2023-06-14,6,2023,286
2023-08-27,8,2023,287
2023-03-28,3,2023,288
2023-06-21,6,2023,289
2023-11-09,11,2023,290
2023-08-22,8,2023,291
2023-08-01,8,2023,292
2023-11-19,11,2023,293
2023-10-22,10,2023,294
2023-04-10,4,2023,295
2023-07-16,7,2023,296
2023-09-11,9,2023,297
2023-01-03,1,2023,298
2023-08-06,8,2023,299
2023-09-23,9,2023,300
2023-08-26,8,2023,301
2023-03-04,3,2023,302
2023-06-12,6,2023,303
2023-08-17,8,2023,304
2023-08-19,8,2023,305
2023-05-13,5,2023,306
2023-08-14,8,2023,307
2023-02-09,2,2023,308
2023-06-13,6,2023,309
2023-03-19,3,2023,310
2023-04-29,4,2023,311
2023-12-22,12,2023,312
2023-04-16,4,2023,313
2023-06-30,6,2023,314
2023-07-21,7,2023,315
2023-10-31,10,2023,316
2023-02-12,2,2023,317
2023-03-11,3,2023,318
2023-05-10,5,2023,319
2023-12-25,12,2023,320
2023-05-12,5,2023,321
2023-07-08,7,2023,322
2023-07-12,7,2023,323
2023-07-23,7,2023,324
2023-11-04,11,2023,325
2023-06-27,6,2023,326
2023-01-07,1,2023,327
2023-08-10,8,2023,328
2023-09-05,9,2023,329
2023-05-24,5,2023,330
2023-12-31,12,2023,331
2023-09-09,9,2023,332
2023-01-09,1,2023,333
2023-12-21,12,2023,334
2023-04-05,4,2023,335
2023-09-26,9,2023,336
2023-07-04,7,2023,337
2023-05-30,5,2023,338
2023-10-21,10,2023,339
2023-09-03,9,2023,340
2023-03-02,3,2023,341
2023-08-02,8,2023,342
2023-04-17,4,2023,343
2023-03-30,3,2023,344
2023-05-28,5,2023,345
